site_id,name,district,lat,lon,shape_id
ADM3_Mehendiganj,Mehendiganj,,22.8404,90.56,5055444B74768834499877
ADM3_MeherpurSadar,Meherpur Sadar,,23.7661,88.6611,5055444B46245287013568
ADM3_Melandaha,Melandaha,,24.9574,89.8247,5055444B58797813051725
ADM3_Mirpur_169518,Mirpur,,23.7942,90.3618,5055444B1093476169518
ADM3_Mirpur_956594,Mirpur,,23.8961,88.9896,5055444B311297956594
ADM3_Mirsharai,Mirsharai,,22.81,91.5502,5055444B69190373788059
ADM3_Mirzaganj,Mirzaganj,,22.3569,90.2167,5055444B29956220315136
ADM3_Mirzapur,Mirzapur,,24.1159,90.1072,5055444B21231975915207
ADM3_MithaPukur,Mitha Pukur,,25.5713,89.2612,5055444B64460137576377
ADM3_Mithamain,Mithamain,,24.433,91.1107,5055444B44243630461995
ADM3_Mohammadpur_517929,Mohammadpur,,23.7586,90.3565,5055444B96237484517929
